school_name,capacity,school_district,min_score,adjust_ratio 
Ottawa University-Phoenix,56,B,91,34
Phoenix College,16,B,52,71
Cortiva Institute-Scottsdale,27,B,10,85
Pima Community College,70,B,9,32
Pima Medical Institute-Tucson,64,B,32,83
Pima Medical Institute-Albuquerque,27,B,68,33
Prescott College,64,B,59,45
Refrigeration School Inc,35,B,54,17
Rio Salado College,10,B,70,7
Roberto-Venn School of Luthiery,58,B,17,43
Hair Academy of Safford,74,B,57,61
Scottsdale Community College,58,B,73,23
South Mountain Community College,87,B,90,75
Arizona Christian University,29,B,41,22
Tucson College,81,B,14,47
Universal Technical Institute of Arizona Inc,14,B,10,72
Western International University,40,B,8,2
Empire Beauty School-NW Phoenix,82,B,88,88
Yavapai College,24,B,21,43
University of Arkansas at Little Rock,58,B,81,96
University of Arkansas for Medical Sciences,18,B,99,21
Arkansas Baptist College,70,B,60,30
Arkansas Beauty School-Little Rock,41,B,85,11
Arkansas Beauty College,88,B,31,98
Lyon College,61,C,56,83
Arkansas College of Barbering and Hair Design,59,C,76,45
Arthur's Beauty College Inc-Fort Smith,95,C,95,1
University of Arkansas,21,C,51,17
University of Arkansas at Pine Bluff,59,C,73,48
Arkansas State University-Beebe,39,C,65,48
Arkansas State University-Main Campus,72,C,51,33
Arkansas Tech University,47,C,87,45
University of Arkansas at Monticello,84,C,17,83
Arthur's Beauty College Inc-Jacksonville,87,C,19,91
Baptist Health College-Little Rock,77,C,16,88
Black River Technical College,59,C,30,94
University of Central Arkansas,83,C,37,64
Central Baptist College,8,C,60,63
Cossatot Community College of the University of Arkansas,96,C,48,11
Crowley's Ridge College,26,C,92,39
Crowley's Ridge Technical Institute,28,C,11,47
East Arkansas Community College,67,C,7,93
Eastern College of Health Vocations-Little Rock,79,C,77,58
Imagine-Paul Mitchell Partner School,81,C,60,91
National Park College,36,C,82,73
University of Arkansas Community College-Batesville,85,C,40,51
Harding University,52,C,81,82
Henderson State University,91,C,4,49
Hendrix College,41,C,52,49
Hot Springs Beauty College,24,C,4,66
Jefferson Regional Medical Center School of Nursing,83,C,97,31
John Brown University,84,C,38,30
Career Academy of Hair Design,97,C,78,55
Academy of Salon and Spa,72,C,90,36
Arkansas State University Mid-South,54,C,17,95
Arkansas Northeastern College,80,C,48,29
New Tyler Barber College Inc,11,C,30,47
North Arkansas College,20,C,88,14
Northwest Technical Institute,56,C,50,64
Ouachita Baptist University,77,C,1,85
College of the Ouachitas,89,C,58,1
Ozarka College,59,C,78,39
University of the Ozarks,63,C,11,60
University of Arkansas Community College-Morrilton,65,C,66,93
Philander Smith College,92,C,72,47
Phillips Community College of the University of Arkansas,62,C,29,92
Southeast Arkansas College,58,C,2,59
Professional Cosmetology Education Center,95,C,55,13
University of Arkansas-Pulaski Technical College,16,C,55,100
University of Arkansas Community College-Hope,31,C,94,19
University of Arkansas Community College Rich Mountain,100,C,28,18
Paul Mitchell the School-Arkansas,46,C,65,14
Searcy Beauty College,58,C,53,96
Shorter College,43,C,72,91
Williams Baptist College,90,C,85,65
South Arkansas Community College,20,C,97,30
Southern Arkansas University Main Campus,42,C,97,42
Southern Arkansas University Tech,74,C,58,83
Velvatex College of Beauty Culture,20,C,66,79
University of Arkansas-Fort Smith,19,C,79,23
Academy of Art University,36,C,31,63
Academy of Chinese Culture and Health Sciences,59,C,73,53
The Academy of Radio and TV Broadcasting,82,C,2,36
Avalon School of Cosmetology-Alameda,80,C,18,49
College of Alameda,48,C,98,88
Allan Hancock College,32,C,53,93
American Academy of Dramatic Arts-Los Angeles,76,C,98,2
American Baptist Seminary of the West,76,C,28,22
American Film Institute Conservatory,56,C,20,1
American Beauty College,22,C,14,8
American Career College-Los Angeles,18,C,73,2
American Conservatory Theater,74,C,77,70
American River College,55,A,23,65
Antelope Valley College,9,A,69,41
Art Center College of Design,64,A,24,90
